,Công ty 1,Thông tin hoá đơn,Công ty 2,Tên quốc tế,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh,Tên viết tắt
0,1602060784 - Huỳnh Thanh Thiện,,,,,,,,,,,,,
1,3502442832 - HỘ KINH DOANH ĐỖ BÁ ĐẠI DƯƠNG (CỬA HÀNG SƠN NƯỚC CP),,,,,,,,,,,,,
2,1800906109 - Phạm Văn Quyết,,,,,,,,,,,,,
3,0106660302 - CÔNG TY CỔ PHẦN MAY KHANG VIỆT,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN BKAV.,0101360697 - CÔNG TY CỔ PHẦN BKAV,BKAV CORPORATION,0101360697,"Tầng 2, tòa nhà HH1-khu đô thị Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","NGUYỄN TỬ QUẢNG
Ngoài ra NGUYỄN TỬ QUẢNG còn đại diện các doanh nghiệp:
CÔNG TY CP PHẦN MỀM DIỆT VIRUS BKAV",Bị ẩn theo yêu cầu người dùng,2003-04-17,Chi cục Thuế Quận Cầu Giấy,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,
4,8057770061 - CP GREEN FARM,,,,,,,,,,,,,
5,2000972249 - Nguyễn Hoàng Nam,,,,,,,,,,,,,
6,8420894308 - Nguyễn Đình Chương,,,,,,,,,,,,,
7,1702223908 - PHẠM ĐẠI MINH NHẬT (QUÁN BIA POCPOC),,,,,,,,,,,,,
8,4900755586 - CÔNG TY CỔ PHẦN VẬN TẢI VÀ XUẤT NHẬP KHẨU HGB,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN LẠNG SƠN.,4900101047 - CÔNG TY CỔ PHẦN IN LẠNG SƠN,LANG SON PRINTING JOINT STOCK COMPANY,4900101047,"Lô M3, cụm Công nghiệp địa phương số 2, Xã Hợp Thành, Huyện Cao Lộc, Tỉnh Lạng Sơn, Việt Nam",ĐOÀN THỊ TÍCH,(0205)3812 220,2009-07-10,Cục Thuế Tỉnh Lạng Sơn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,LAPCO
9,2901296620 - CÔNG TY CP ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI NGỌC LINH,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CP IN VÀ PHÁT HÀNH BIỂU MẪU NGHỆ AN.,2900326784 - CÔNG TY CP IN VÀ PHÁT HÀNH BIỂU MẪU NGHỆ AN,NGHE AN ISSUING AND PRINTING JOINT STOCK COMPANY,2900326784,"Số 05 đường Trường Thi, Phường Trường Thi, Thành phố Vinh, Tỉnh Nghệ An, Việt Nam","NGUYỄN HẢI PHONGTRỊNH ĐỨC THANH
Ngoài ra NGUYỄN HẢI PHONGTRỊNH ĐỨC THANH còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI HÙNG PHONG",038 359287038 359287,2008-10-26,Cục Thuế Tỉnh Nghệ An,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,IPB
